machine_id,machine_type,temperature,vibration,pressure,rpm,humidity,power_draw,operating_hours,maintenance_gap_days,tool_wear,age_days,thermal_stress,mechanical_stress,energy_intensity,maintenance_urgency,anomaly_label,failure_within_7_days
M-00567,turbine,79.95,7.32,24.64,1445.6,60.32,246.71,12.88,37,77.6,1100,0.701,5.644,0.171,3.169,1,1
M-00568,cnc,71.56,5.95,18.88,1611.84,64.68,357.04,13.55,51,51.66,490,0.325,4.609,0.222,3.261,0,1
M-00569,compressor,87.22,6.23,26.47,1460.34,63.96,343.5,16.66,50,39.36,792,1.101,4.299,0.235,3.66,0,1
M-00570,compressor,80.36,8.12,23.67,1646.29,57.13,255.27,8.32,36,42.7,1022,0.689,5.672,0.155,2.791,1,1
M-00571,compressor,62.1,5.26,41.95,1554.46,63.27,318.9,8.35,14,91.25,678,-0.163,4.939,0.205,1.626,0,1
M-00572,turbine,75.62,4.43,30.94,1439.28,62.45,254.97,14.2,23,21.14,878,0.505,2.914,0.177,2.503,0,0
M-00573,compressor,90.48,5.56,36.6,1336.97,84.12,200.72,5.37,26,86.98,1024,1.465,4.709,0.15,2.216,0,1
M-00574,turbine,72.19,3.42,29.29,1362.47,66.62,266.18,8.73,51,23.55,756,0.376,2.297,0.195,3.194,0,0
M-00575,turbine,78.48,4.35,29.92,1185.31,50.94,301.73,19.87,23,98.18,556,0.533,4.05,0.255,2.575,0,1
M-00576,compressor,79.46,3.29,30.8,1401.93,41.06,338.89,13.27,49,47.59,805,0.484,2.766,0.242,3.427,0,1
M-00577,turbine,63.63,4.76,37.64,1476.28,48.87,314.72,4.53,57,74.68,535,-0.23,4.219,0.213,2.998,0,0
M-00578,robotic_arm,79.11,3.29,32.87,1758.78,48.02,364.0,5.21,8,74.29,847,0.536,3.806,0.207,1.339,0,0
M-00579,turbine,60.06,3.24,24.66,1545.1,58.14,241.22,22.39,56,78.39,180,-0.316,3.556,0.156,3.733,0,0
M-00580,compressor,67.74,4.78,40.74,1294.33,43.6,280.51,23.13,34,79.99,143,-0.077,4.077,0.217,2.867,0,1
M-00581,compressor,84.76,4.01,29.24,1190.91,66.31,411.88,16.82,36,8.71,617,1.001,2.08,0.346,2.963,0,0
M-00582,compressor,77.57,1.5,28.27,1412.82,35.33,179.48,7.7,19,30.97,220,0.332,1.463,0.127,1.405,0,0
M-00583,cnc,70.96,2.16,14.02,1596.12,32.41,275.62,11.36,21,26.82,901,-0.028,2.006,0.173,2.273,1,0
M-00584,compressor,78.46,2.59,34.81,1410.29,50.38,235.35,10.11,33,71.37,291,0.527,2.869,0.167,2.169,0,0
M-00585,turbine,73.4,2.96,31.61,1547.56,41.89,292.3,19.7,13,69.92,644,0.189,3.239,0.189,2.239,0,0
M-00586,robotic_arm,74.13,4.78,31.6,1417.4,36.9,276.76,14.74,43,33.22,286,0.175,3.318,0.195,2.843,0,0
M-00587,cnc,80.57,4.51,28.58,1579.06,44.36,344.14,19.59,40,80.39,1113,0.572,4.342,0.218,3.703,0,1
M-00588,compressor,66.73,5.69,27.55,1162.49,42.86,321.61,11.21,2,34.6,1025,-0.135,3.483,0.277,1.607,0,0
M-00589,cnc,74.4,5.25,28.78,1738.75,52.12,220.13,21.39,14,37.58,91,0.341,4.125,0.127,1.919,0,0
M-00590,cnc,70.88,5.7,33.78,1249.75,44.55,266.77,12.58,31,42.89,527,0.089,3.779,0.213,2.434,0,1
M-00591,turbine,58.14,5.05,34.83,1592.87,45.53,304.99,12.35,45,75.74,1135,-0.537,4.569,0.191,3.487,0,1
M-00592,compressor,64.8,4.49,29.61,1401.01,51.94,353.06,13.78,18,6.12,633,-0.141,2.595,0.252,2.074,0,0
M-00593,compressor,89.68,5.74,36.69,1429.15,64.17,463.14,15.84,53,91.11,1027,1.226,5.02,0.324,3.926,1,1
M-00594,robotic_arm,77.85,5.49,30.53,1406.6,69.65,350.68,21.88,32,70.75,189,0.689,4.442,0.249,2.75,0,1
M-00595,cnc,60.76,4.73,27.97,1496.01,53.77,239.19,13.16,33,60.73,566,-0.324,3.951,0.16,2.581,0,0
M-00596,cnc,58.6,5.98,32.19,1532.35,54.71,298.9,22.6,8,27.55,1056,-0.423,4.029,0.195,2.556,0,0
M-00597,robotic_arm,72.88,0.92,22.84,1640.51,49.8,316.76,11.87,38,79.62,306,0.242,2.44,0.193,2.487,0,0
M-00598,robotic_arm,89.61,3.79,32.4,1703.43,57.77,271.24,10.49,49,87.91,101,1.158,4.278,0.159,2.674,0,1
M-00599,turbine,72.13,3.77,21.75,1509.73,56.68,335.57,9.9,14,52.65,905,0.273,3.284,0.222,1.908,0,0
M-00600,robotic_arm,87.07,5.81,24.83,1758.46,67.91,157.36,4.42,33,32.78,182,1.133,4.365,0.089,1.737,0,0
M-00601,compressor,77.52,6.4,18.89,1466.74,29.34,340.95,20.98,2,41.15,423,0.269,4.438,0.232,1.691,0,0
M-00602,turbine,78.71,2.17,29.95,1643.94,49.19,274.03,5.58,14,44.54,991,0.527,2.433,0.167,1.721,0,0
M-00603,turbine,60.64,6.18,40.66,1527.17,56.07,297.87,10.69,6,34.06,1079,-0.307,4.26,0.195,1.78,0,0
M-00604,robotic_arm,83.38,2.56,30.3,1351.14,51.68,400.27,9.01,46,72.66,234,0.786,2.791,0.296,2.576,0,1
M-00605,turbine,70.65,2.6,34.86,1482.62,40.73,223.0,18.89,59,37.51,641,0.04,2.299,0.15,4.027,0,0
M-00606,turbine,82.63,3.87,45.11,1540.57,36.41,322.73,22.65,4,83.02,970,0.596,3.991,0.209,2.327,0,1
M-00607,turbine,65.86,3.75,33.42,1444.2,61.68,356.6,20.33,42,49.05,524,0.01,3.109,0.247,3.337,0,0
M-00608,cnc,75.77,2.02,26.41,1524.31,42.92,316.07,10.4,36,64.75,478,0.318,2.583,0.207,2.462,0,0
M-00609,robotic_arm,77.52,5.11,27.23,1605.77,30.94,200.08,13.12,42,95.06,692,0.285,5.005,0.125,3.044,0,1
M-00610,compressor,72.46,5.15,31.0,1445.79,62.28,392.78,8.94,31,47.38,951,0.346,3.846,0.272,2.569,0,1
M-00611,robotic_arm,78.05,5.68,27.2,920.1,57.51,291.26,22.48,59,21.18,134,0.577,2.86,0.317,3.82,0,1
M-00612,robotic_arm,71.34,3.59,27.65,1752.09,50.61,270.71,6.37,4,57.24,145,0.173,3.624,0.155,0.663,0,0
M-00613,turbine,67.51,4.14,36.91,1396.43,41.03,284.82,23.04,10,52.18,208,-0.114,3.318,0.204,1.956,0,0
M-00614,turbine,90.05,4.16,37.16,1301.81,50.64,280.16,20.27,16,79.35,468,1.109,3.733,0.215,2.246,0,1
M-00615,cnc,84.49,6.56,21.12,1247.66,66.59,227.64,18.23,47,86.72,398,0.99,5.127,0.182,3.306,0,1
M-00616,robotic_arm,66.39,0.23,26.09,1389.44,32.62,315.72,19.48,6,72.7,624,-0.254,1.567,0.227,1.929,0,0
M-00617,robotic_arm,79.68,2.86,28.22,1348.71,33.23,266.18,10.79,9,97.29,423,0.417,3.446,0.197,1.36,0,0
M-00618,compressor,66.57,4.21,34.59,1317.34,44.47,348.61,9.92,44,30.57,784,-0.127,2.808,0.265,3.008,0,0
M-00619,cnc,62.15,2.68,37.86,1327.22,51.68,338.64,11.63,26,27.72,447,-0.276,1.925,0.255,2.11,0,0
M-00620,cnc,84.34,3.84,47.21,1545.35,46.04,410.67,7.63,42,32.67,1018,0.777,2.972,0.266,2.986,0,0
M-00621,turbine,56.96,4.02,28.21,1815.47,59.71,291.24,18.93,23,68.74,433,-0.455,4.181,0.16,2.416,0,1
M-00622,compressor,83.27,3.28,28.51,1597.7,65.07,252.79,13.5,7,27.09,361,0.914,2.628,0.158,1.391,0,0
M-00623,turbine,71.47,4.29,34.53,1652.07,55.35,209.47,21.72,36,13.4,1044,0.227,2.988,0.127,3.613,0,0
M-00624,compressor,71.88,5.08,26.91,1382.07,58.73,447.57,21.57,8,97.88,821,0.281,4.726,0.324,2.298,1,1
M-00625,turbine,78.1,3.87,30.15,1468.84,55.27,348.04,7.12,29,34.89,143,0.558,2.924,0.237,1.706,0,0
M-00626,compressor,79.81,3.57,28.51,1526.77,52.11,259.99,8.38,53,26.13,258,0.612,2.665,0.17,2.838,0,0
M-00627,turbine,65.74,3.97,15.27,1331.28,36.48,415.06,12.21,12,39.08,143,-0.248,2.866,0.312,1.332,1,0
M-00628,cnc,81.18,4.19,31.74,1373.37,39.66,393.15,6.38,13,20.05,972,0.556,2.667,0.286,1.713,0,0
M-00629,robotic_arm,75.13,1.76,29.91,1603.82,35.79,217.17,17.79,56,8.4,786,0.215,1.429,0.135,3.962,0,0
M-00630,turbine,61.44,4.85,38.63,1646.25,50.22,256.02,18.75,19,34.01,1125,-0.326,3.697,0.156,2.823,0,0
M-00631,turbine,72.3,3.57,31.03,1462.13,54.79,296.4,18.43,23,37.1,454,0.263,2.793,0.203,2.404,0,0
M-00632,turbine,87.81,5.97,23.47,1234.87,34.61,235.44,13.4,41,82.05,142,0.837,4.686,0.191,2.563,0,1
M-00633,cnc,90.77,5.03,29.45,1396.79,52.87,298.72,20.86,9,46.39,599,1.167,3.688,0.214,2.111,0,1
M-00634,compressor,81.17,5.84,18.45,1190.56,41.5,351.28,16.12,5,74.99,178,0.574,4.412,0.295,1.315,0,1
M-00635,cnc,62.1,2.78,23.73,1463.54,39.17,215.74,23.87,50,74.89,250,-0.403,3.12,0.147,3.641,0,0
M-00636,cnc,78.91,3.68,34.81,1495.97,44.5,324.05,20.31,56,79.95,964,0.49,3.76,0.217,4.262,0,1
M-00637,robotic_arm,82.51,2.46,29.52,1401.27,38.55,380.95,18.45,59,92.26,510,0.611,3.2,0.272,3.892,0,1
M-00638,robotic_arm,81.26,3.21,36.54,1493.51,59.28,331.01,6.47,3,52.37,1067,0.756,2.948,0.222,1.397,0,0
M-00639,turbine,81.85,5.95,19.2,1525.04,49.98,300.08,20.65,32,14.88,660,0.692,3.75,0.197,3.069,0,1
M-00640,turbine,77.63,6.28,29.55,1496.24,61.78,261.57,10.11,51,8.67,809,0.599,3.766,0.175,3.321,0,0
M-00641,robotic_arm,73.28,2.59,28.15,1233.72,46.68,359.0,12.38,50,22.76,1015,0.231,1.644,0.291,3.589,0,0
M-00642,turbine,67.92,3.56,36.74,1404.41,47.13,228.5,13.26,22,83.78,601,-0.033,3.639,0.163,2.176,0,0
M-00643,cnc,55.02,4.09,35.04,1523.77,74.48,320.78,10.63,30,59.56,445,-0.404,3.619,0.211,2.208,0,0
M-00644,cnc,77.4,5.02,34.85,1734.17,32.52,306.66,6.17,10,18.31,943,0.295,3.605,0.177,1.556,0,0
M-00645,robotic_arm,75.86,1.74,40.25,1401.05,67.41,378.16,7.99,10,17.6,1012,0.567,1.308,0.27,1.723,0,0
M-00646,turbine,79.58,1.96,28.79,1549.15,71.85,267.12,20.07,23,89.69,422,0.797,3.083,0.172,2.476,0,0
M-00647,cnc,60.62,4.89,39.01,1608.07,61.19,272.65,17.05,15,54.4,1003,-0.257,4.072,0.17,2.459,0,0
M-00648,compressor,80.45,1.47,24.73,1414.61,48.03,224.28,22.86,58,21.33,1190,0.603,1.257,0.159,4.683,0,0
M-00649,robotic_arm,94.55,3.57,24.51,1656.71,69.12,333.42,20.42,6,90.19,305,1.519,4.137,0.201,1.719,0,1
M-00650,cnc,74.78,4.43,35.52,1666.39,48.14,277.45,12.04,32,73.47,1031,0.321,4.285,0.166,2.862,0,1
M-00651,compressor,73.38,4.78,21.97,1698.47,43.53,248.97,19.72,34,50.39,186,0.204,4.064,0.147,2.698,0,1
M-00652,turbine,77.09,4.0,34.44,1532.52,47.34,255.16,15.53,5,49.18,1074,0.428,3.374,0.166,2.027,0,0
M-00653,robotic_arm,94.32,3.69,31.61,1874.82,45.16,339.91,9.73,27,68.9,1079,1.268,4.085,0.181,2.563,0,1
M-00654,cnc,63.76,5.38,37.43,1339.25,40.64,233.31,23.5,56,37.14,1038,-0.305,3.616,0.174,4.515,0,1
M-00655,turbine,76.03,4.6,30.64,1832.33,65.32,239.08,22.57,8,99.99,477,0.555,5.147,0.13,2.072,0,1
M-00656,compressor,66.0,3.29,31.34,1588.29,42.72,363.26,6.24,10,79.53,1125,-0.173,3.671,0.229,1.712,0,0
M-00657,turbine,68.53,4.25,34.06,1691.27,51.64,294.2,20.79,11,65.89,704,0.043,4.073,0.174,2.274,0,0
M-00658,cnc,73.5,4.74,27.02,1392.39,34.67,367.1,5.55,5,70.31,161,0.122,4.0,0.264,0.667,0,0
M-00659,robotic_arm,87.47,6.61,26.76,1602.01,52.37,281.64,22.58,53,99.63,1032,0.997,5.914,0.176,4.335,0,1
M-00660,compressor,92.01,5.3,33.85,1706.86,38.13,304.93,16.48,4,6.02,1098,1.082,3.474,0.179,2.064,0,1
M-00661,cnc,78.48,5.9,30.82,1254.28,37.83,315.16,7.33,18,7.17,426,0.402,3.18,0.251,1.515,0,0
M-00662,turbine,70.23,3.35,28.56,1420.6,50.69,395.17,20.35,49,79.58,365,0.119,3.461,0.278,3.485,0,0
M-00663,cnc,98.93,3.47,30.5,1064.57,64.68,389.88,14.32,59,24.89,721,1.693,1.925,0.366,3.82,1,1
M-00664,cnc,69.72,3.87,40.57,1417.9,57.28,379.96,5.19,10,70.09,488,0.159,3.556,0.268,1.118,0,0
M-00665,compressor,68.29,4.0,28.34,1303.12,58.11,264.13,19.97,22,52.82,799,0.096,3.117,0.203,2.744,0,0
M-00666,robotic_arm,56.25,2.79,28.17,1410.8,50.44,240.86,19.77,12,35.27,501,-0.583,2.255,0.171,2.084,0,0
M-00667,turbine,87.96,5.97,20.76,1976.26,47.97,354.45,13.64,13,26.98,331,0.978,4.648,0.179,1.614,0,0
M-00668,turbine,83.68,5.44,30.75,1759.2,61.49,394.49,18.62,56,78.79,348,0.899,5.079,0.224,3.647,0,1
M-00669,cnc,98.18,3.77,34.94,1190.9,45.24,380.58,4.8,21,21.24,820,1.461,2.201,0.32,1.812,1,0
M-00670,compressor,60.1,5.1,36.02,1550.03,62.01,305.85,10.36,37,20.08,576,-0.275,3.42,0.197,2.582,0,0
M-00671,cnc,88.58,4.51,31.65,1593.81,66.83,352.31,17.46,11,46.98,106,1.197,3.698,0.221,1.576,0,0
M-00672,robotic_arm,74.7,5.21,36.74,1389.18,41.9,353.45,8.61,18,16.33,651,0.254,3.175,0.254,1.779,0,0
M-00673,turbine,82.06,2.32,35.39,1482.1,43.67,314.68,13.01,22,65.94,964,0.64,2.711,0.212,2.464,0,0
M-00674,robotic_arm,57.52,4.0,37.68,1499.68,45.45,317.5,22.64,36,99.24,255,-0.569,4.325,0.212,3.011,0,1
M-00675,robotic_arm,88.68,4.12,36.91,1207.61,34.4,311.38,20.54,54,76.05,361,0.878,3.512,0.258,3.693,0,1
M-00676,compressor,81.87,5.07,40.42,1264.36,46.37,253.77,15.16,16,62.31,489,0.657,3.843,0.201,1.957,0,1
M-00677,turbine,73.61,3.32,29.98,1481.01,67.62,260.41,15.53,39,42.49,1119,0.457,2.792,0.176,3.425,0,0
M-00678,compressor,80.45,0.7,23.04,1467.89,39.45,259.4,21.74,30,98.86,476,0.517,2.459,0.177,2.901,0,0
M-00679,cnc,66.35,2.69,34.98,1322.46,67.9,201.05,21.26,48,88.59,1019,0.096,3.138,0.152,4.045,0,0
M-00680,compressor,68.21,4.11,35.68,1307.01,46.8,314.29,5.77,21,82.96,838,-0.022,3.789,0.24,1.884,0,0
M-00681,cnc,69.37,4.29,40.42,1433.84,77.37,302.36,13.31,26,26.85,1191,0.342,2.945,0.211,2.831,0,0
M-00682,cnc,55.47,6.56,38.69,1609.51,43.82,354.53,7.82,38,16.74,734,-0.688,4.241,0.22,2.601,0,0
M-00683,cnc,82.62,5.02,42.67,1436.23,50.27,386.95,5.66,27,21.9,441,0.734,3.249,0.269,1.787,0,0
M-00684,compressor,85.92,4.31,34.72,1742.09,41.08,391.08,9.85,46,29.58,884,0.807,3.453,0.224,3.168,0,1
M-00685,robotic_arm,66.99,4.15,32.37,1324.75,43.75,397.2,16.21,2,12.76,190,-0.113,2.433,0.3,1.211,0,0
M-00686,compressor,77.48,5.75,22.69,1484.76,68.06,255.79,19.89,22,89.4,960,0.655,5.069,0.172,2.873,0,1
M-00687,compressor,71.34,3.37,32.85,1386.23,57.69,211.92,22.25,12,22.59,349,0.244,2.288,0.153,2.106,0,0
M-00688,turbine,77.28,4.0,27.68,1555.83,64.35,365.5,12.46,10,26.53,830,0.608,2.955,0.235,1.839,0,0
M-00689,turbine,67.72,2.68,32.27,1309.31,36.21,394.84,12.45,5,89.38,733,-0.152,3.129,0.302,1.558,0,0
M-00690,compressor,65.17,6.19,31.33,1796.93,59.86,406.14,7.07,22,96.02,357,-0.043,5.89,0.226,1.601,0,1
M-00691,cnc,84.52,4.75,33.83,1145.69,40.34,336.52,7.9,14,26.07,624,0.729,2.77,0.294,1.554,0,0
M-00692,turbine,73.36,3.21,30.42,1758.79,35.95,175.21,6.05,45,32.95,647,0.128,2.937,0.1,2.702,0,0
M-00693,cnc,94.22,4.04,36.61,1466.2,54.87,328.76,23.52,31,81.01,941,1.36,3.937,0.224,3.435,0,1
M-00694,compressor,74.46,4.91,14.66,1549.44,54.74,341.1,6.55,47,97.18,607,0.371,4.859,0.22,2.779,1,1
M-00695,turbine,64.74,3.85,32.14,1690.21,52.64,386.38,19.13,53,66.72,154,-0.137,3.866,0.229,3.396,0,1
M-00696,compressor,86.27,3.45,38.21,1604.38,60.61,397.93,10.36,47,47.05,172,1.02,3.131,0.248,2.645,0,1
M-00697,robotic_arm,80.31,3.28,42.22,1318.6,62.48,364.13,14.74,26,69.09,827,0.74,3.072,0.276,2.614,0,0
M-00698,robotic_arm,81.27,4.67,35.39,1558.02,69.64,266.83,21.45,58,79.13,1082,0.86,4.379,0.171,4.509,0,1
M-00699,robotic_arm,85.91,3.7,41.11,1786.15,37.72,238.11,22.72,24,15.7,573,0.772,2.9,0.133,2.801,0,0
M-00700,cnc,67.47,3.56,32.01,1290.29,70.02,339.71,8.8,49,46.35,191,0.174,2.731,0.263,2.647,0,0
M-00701,cnc,72.73,2.33,31.02,1831.32,74.59,253.49,22.23,12,86.44,279,0.482,3.626,0.138,2.046,0,0
M-00702,compressor,72.29,4.31,34.18,1519.43,47.61,400.88,9.04,58,72.02,1173,0.19,3.981,0.264,3.84,0,1
M-00703,cnc,61.09,3.95,30.98,1372.02,31.98,194.2,20.1,19,19.61,870,-0.526,2.523,0.142,2.691,0,0
M-00704,turbine,71.36,3.75,26.31,1289.21,35.4,341.85,4.31,38,76.75,125,0.022,3.439,0.265,1.882,0,0
M-00705,cnc,87.36,4.48,27.91,1409.81,46.46,325.77,14.7,22,68.41,377,0.933,3.845,0.231,2.076,0,0
M-00706,robotic_arm,76.37,5.25,24.33,1098.05,76.17,291.56,18.52,15,30.14,899,0.68,3.057,0.266,2.46,0,0
M-00707,turbine,60.54,5.18,34.17,1375.26,52.2,244.87,20.78,21,37.68,791,-0.351,3.568,0.178,2.746,0,0
M-00708,turbine,58.44,4.97,31.07,1402.67,44.59,170.98,20.82,37,34.87,409,-0.532,3.437,0.122,3.07,0,0
M-00709,compressor,90.65,3.86,28.84,1256.61,43.78,270.46,9.98,8,99.36,862,1.07,3.907,0.215,1.637,0,1
M-00710,compressor,73.1,3.41,27.6,1584.61,36.13,271.6,21.06,13,22.45,1094,0.116,2.586,0.171,2.695,0,0
M-00711,turbine,67.53,2.74,34.03,1410.62,62.49,377.26,10.47,55,83.79,1089,0.101,3.197,0.267,3.736,0,0
M-00712,robotic_arm,71.26,3.37,35.68,1335.56,50.9,254.11,8.68,6,55.41,1004,0.172,2.869,0.19,1.597,0,0
M-00713,turbine,59.23,4.23,24.22,1391.44,77.2,334.43,4.03,43,88.65,483,-0.167,4.086,0.24,2.364,0,1
M-00714,turbine,88.23,3.1,23.27,1513.92,59.54,221.0,8.71,19,98.28,117,1.107,3.833,0.146,1.38,0,0
M-00715,turbine,70.07,4.33,36.73,1463.18,61.96,336.22,6.37,20,96.3,523,0.223,4.4,0.23,1.618,0,1
M-00716,cnc,87.67,2.85,22.75,1323.82,49.09,159.55,17.5,23,86.15,114,0.975,3.181,0.121,2.065,0,0
M-00717,robotic_arm,74.52,1.87,34.28,1472.62,38.91,441.19,6.9,24,44.29,722,0.215,2.021,0.3,1.975,1,0
M-00718,cnc,88.3,5.35,40.7,1440.88,41.52,295.83,15.71,43,30.77,759,0.93,3.615,0.205,3.295,0,1
M-00719,robotic_arm,76.57,3.54,40.72,1244.9,35.57,123.36,6.53,48,35.35,469,0.284,2.43,0.099,2.703,0,0
M-00720,turbine,82.53,3.03,35.43,1398.07,62.92,258.35,18.09,23,67.05,256,0.856,3.004,0.185,2.219,0,0
M-00721,compressor,81.19,2.67,35.25,1554.28,47.38,248.08,9.71,11,37.48,672,0.633,2.438,0.16,1.583,0,0
M-00722,compressor,80.23,4.79,44.51,1552.98,63.43,262.37,10.17,2,46.31,105,0.746,3.781,0.169,0.778,0,0
M-00723,cnc,77.48,6.12,16.99,1408.61,53.63,281.3,16.81,44,12.57,396,0.51,3.632,0.2,3.098,1,1
M-00724,turbine,71.67,3.64,28.21,1571.82,48.49,261.93,22.78,55,78.25,1164,0.168,3.81,0.167,4.537,0,1
M-00725,cnc,93.15,3.9,36.09,1273.61,37.96,251.93,23.83,3,15.59,1104,1.137,2.275,0.198,2.47,0,0
M-00726,cnc,64.93,5.7,28.98,1279.18,55.62,229.69,11.15,36,37.02,792,-0.097,3.703,0.18,2.769,0,0
M-00727,cnc,74.04,1.67,38.44,1404.77,49.38,358.42,22.93,14,61.09,505,0.296,2.145,0.255,2.356,0,0
M-00728,cnc,74.15,6.95,30.76,1719.56,62.83,383.07,16.25,14,55.46,102,0.436,5.39,0.223,1.62,0,1
M-00729,compressor,78.02,7.62,31.79,1479.39,43.42,288.45,22.13,50,89.85,811,0.435,6.102,0.195,4.004,1,1
M-00730,compressor,69.71,0.41,29.35,1400.43,59.39,303.85,4.56,16,67.58,634,0.179,1.578,0.217,1.442,0,0
M-00731,compressor,77.15,4.06,27.86,1727.94,71.69,231.79,4.66,19,79.96,881,0.674,4.303,0.134,1.774,0,1
M-00732,cnc,72.31,3.19,27.72,1398.35,55.27,309.62,5.49,9,33.83,264,0.268,2.431,0.221,0.909,0,0
M-00733,cnc,58.18,3.83,32.63,1852.25,61.42,319.95,20.09,54,17.56,1011,-0.377,3.103,0.173,4.208,0,0
M-00734,compressor,74.1,3.61,26.35,1357.97,58.86,290.74,6.76,54,75.62,983,0.393,3.44,0.214,3.385,0,0
M-00735,cnc,62.99,5.34,36.72,1267.89,74.78,330.74,7.53,54,19.59,565,-0.003,3.138,0.261,3.083,0,0
M-00736,robotic_arm,56.66,4.04,34.92,1420.05,56.46,325.07,15.71,15,84.25,121,-0.503,3.937,0.229,1.643,0,0
M-00737,cnc,75.37,2.92,37.6,1405.16,60.4,236.48,23.15,12,94.59,607,0.472,3.508,0.168,2.375,0,0
M-00738,compressor,78.88,3.96,24.23,1304.61,51.56,382.55,15.34,56,31.88,501,0.56,2.679,0.293,3.578,0,1
M-00739,compressor,79.27,4.92,20.8,1918.36,42.71,291.5,18.65,37,77.3,934,0.49,4.993,0.152,3.377,0,1
M-00740,compressor,79.67,2.54,30.97,1507.35,37.5,413.91,7.75,17,46.55,354,0.459,2.483,0.275,1.44,0,0
M-00741,cnc,54.67,1.9,48.39,1533.56,67.2,332.33,22.28,4,33.4,110,-0.494,1.901,0.217,1.589,0,0
M-00742,cnc,60.39,6.99,38.6,1366.86,39.9,433.11,5.12,48,45.96,1178,-0.482,4.716,0.317,3.209,1,1
M-00743,turbine,93.74,3.3,27.67,1346.02,60.95,381.39,9.66,48,66.44,357,1.396,3.067,0.283,2.797,0,1
M-00744,cnc,63.53,4.01,33.55,1634.6,56.99,319.77,13.07,2,98.87,176,-0.154,4.517,0.196,1.011,0,0
M-00745,compressor,80.11,3.64,35.37,1148.35,63.01,258.0,8.52,29,33.5,1041,0.736,2.314,0.225,2.539,0,0
M-00746,compressor,67.13,4.97,22.79,1244.28,45.82,259.4,17.28,30,72.06,889,-0.085,3.951,0.208,2.977,0,1
M-00747,compressor,74.8,6.68,39.22,1405.48,42.51,339.65,17.58,28,36.81,388,0.265,4.419,0.242,2.498,0,1
M-00748,compressor,67.67,5.01,30.0,1693.19,56.54,314.3,8.24,23,28.88,620,0.049,3.753,0.186,1.931,0,0
M-00749,turbine,79.62,2.07,30.46,1382.59,48.49,266.71,4.17,21,65.03,854,0.566,2.416,0.193,1.802,0,0
M-00750,turbine,75.37,2.26,31.14,1524.91,37.23,359.15,5.49,21,77.32,996,0.241,2.969,0.236,1.999,0,0
M-00751,cnc,69.52,3.64,37.87,1454.99,75.26,307.52,4.01,55,73.15,503,0.328,3.544,0.211,2.86,0,0
M-00752,compressor,63.5,3.82,26.47,1683.33,42.5,359.54,22.11,59,94.55,327,-0.3,4.399,0.214,3.959,0,1
M-00753,cnc,76.68,1.79,20.76,1164.75,40.08,241.59,16.43,8,15.2,106,0.335,0.952,0.207,1.394,0,0
M-00754,compressor,61.87,5.35,32.94,1582.47,49.09,369.97,6.77,43,56.36,1039,-0.315,4.329,0.234,2.992,0,1
M-00755,robotic_arm,78.27,2.68,18.74,1414.2,67.03,337.56,5.85,35,32.63,993,0.684,2.146,0.239,2.579,0,0
M-00756,cnc,100.26,6.29,29.19,1616.48,26.0,382.84,20.35,16,82.61,1144,1.373,5.421,0.237,2.814,1,1
M-00757,compressor,87.5,6.75,38.12,1302.53,66.04,368.53,20.22,12,10.89,919,1.135,3.79,0.283,2.459,0,1
M-00758,turbine,81.18,3.85,34.47,1454.39,41.06,299.48,22.55,45,21.7,326,0.57,2.631,0.206,3.425,0,1
M-00759,cnc,73.14,4.81,37.25,1431.55,55.17,294.25,7.19,23,78.34,356,0.309,4.26,0.206,1.648,0,0
M-00760,compressor,54.61,2.48,34.72,1269.56,43.89,420.9,14.45,9,38.69,359,-0.73,1.949,0.332,1.526,0,0
M-00761,robotic_arm,60.78,5.07,45.46,1219.53,75.9,286.11,6.43,58,69.77,598,-0.102,3.928,0.235,3.204,0,1
M-00762,cnc,86.83,3.5,27.47,1345.53,53.5,353.65,19.91,55,99.86,1159,0.976,3.846,0.263,4.361,0,1
M-00763,cnc,66.1,2.68,33.39,1473.39,43.5,280.21,12.25,26,48.69,856,-0.16,2.551,0.19,2.488,0,0
M-00764,cnc,67.01,3.79,28.37,1313.76,48.39,183.98,17.92,26,55.63,571,-0.066,3.077,0.14,2.591,0,0
M-00765,turbine,72.34,3.55,36.74,1390.59,53.08,225.22,4.61,26,97.66,908,0.248,3.891,0.162,2.073,0,0
M-00766,cnc,63.38,3.74,30.63,1110.56,54.13,331.38,19.56,13,75.91,1017,-0.19,3.164,0.298,2.541,0,0
M-00767,cnc,61.73,5.53,41.31,1383.28,57.27,350.57,8.59,8,23.69,537,-0.241,3.491,0.253,1.283,0,0
M-00768,cnc,73.5,3.1,27.82,1634.25,51.98,331.6,20.86,17,81.41,1025,0.295,3.668,0.203,2.786,0,1
M-00769,cnc,65.08,6.63,39.44,1576.93,35.47,379.49,7.72,24,54.01,110,-0.291,4.979,0.241,1.515,0,1
M-00770,robotic_arm,66.59,2.34,34.56,1434.35,47.92,330.43,19.8,10,79.8,435,-0.091,2.935,0.23,1.951,0,0
M-00771,cnc,66.19,6.46,30.81,1493.86,59.28,254.61,6.68,4,61.86,278,0.002,4.925,0.17,0.793,0,0
M-00772,robotic_arm,79.22,2.78,34.25,1300.91,43.96,343.63,17.27,55,26.6,288,0.501,1.918,0.264,3.476,0,0
M-00773,robotic_arm,71.68,4.2,32.57,1742.4,60.07,316.02,19.59,52,82.37,315,0.285,4.446,0.181,3.518,0,1
